#N =          J1         KA         KC         J2          E
  497         21          0         21          2   4857.755
  498         15         10          5          2   4860.508
  499         12          5          8          6   4867.190
  500         13         13          0          0   4869.456
  501          4          4          1          8   4876.104
  502         16         10          7          0   4888.724
  503          5          3          2          8   4892.650
  504         21          1         20          0   4893.006
  505         10          8          3          6   4899.498
  506         14          2         13          6   4903.095
  507         18          2         17          4   4907.740
  508         22          1         22          0   4910.736
  509         18          5         14          2   4919.553
  510          9          9          0          6   4923.326
  511         19          0         19          4   4929.165
  512         15          0         15          6   4929.525
  513         11          7          4          6   4935.819
  514          6          2          5          8   4935.855
  515         16          5         12          4   4942.780
  516         17          7         10          2   4944.128
  517         15          7          8          4   4945.479
  518         16          9          8          2   4963.216
  519          7          0          7          8   4968.786
  520         19          4         15          0   4996.064
  521          5          4          1          8   4998.123
  522         18          7         12          0   4999.324
  523         13         10          3          4   5002.502
  524         13          3         10          6   5010.488
  525         12         11          2          4   5015.327
  526         17          9          8          0   5020.456
  527          6          3          4          8   5033.387
  528         12          6          7          6   5035.153
  529         14          9          6          4   5050.033
  530         19          3         16          2   5082.192
  531          7          1          6          8   5088.578
  532         17          3         14          4   5107.790
  533          8          1          8          8   5127.268
  534         17          8          9          2   5137.825
  535         14          3         12          6   5138.882
  536          5          5          0          8   5139.151
  537         16          6         11          4   5141.250
  538         13          4          9          6   5142.355
  539          6          4          3          8   5144.743
  540         18          6         13          2   5150.614
  541         20          4         17          0   5157.900
  542         15          8          7          4   5162.102
  543         10          9          2          6   5166.195
  544         11          8          3          6   5168.275
  545          7          2          5          8   5168.803
  546         14         12          3          2   5181.363
  547         15         12          3          0   5181.607
  548         15         11          4          2   5187.108
  549         20          3         18          2   5194.183
  550         14         13          2          0   5209.219
  551         15          1         14          6   5211.124
  552         16         11          6          0   5213.689
  553         18          8         11          0   5219.905
  554         18          3         16          4   5223.342
  555          7          3          4          8   5229.405
  556         12          7          6          6   5231.780
  557         13         13          0          2   5234.574
  558         16          1         16          6   5236.294
  559         19          5         14          0   5237.229
  560         13          5          8          6   5241.281
  561         16         10          7          2   5253.842
  562         21          1         20          2   5258.124
  563         21          2         19          0   5268.259
  564          8          2          7          8   5270.655
  565         22          1         22          2   5275.854
  566          6          5          2          8   5285.184
  567         19          1         18          4   5289.965
  568          9          0          9          8   5304.118
  569         17         10          7          0   5307.972
  570         20          1         20          4   5310.153
  571          7          4          3          8   5320.360
  572         22          2         21          0   5330.885
  573         13         11          2          4   5331.505
  574         16          7         10          4   5339.135
  575         17          4         13          4   5343.048
  576         14         10          5          4   5344.761
  577         14          4         11          6   5347.209
  578         23          0         23          0   5347.390
  579         19          4         15          2   5361.182
  580         18          7         12          2   5364.442
  581         13          6          7          6   5369.953
  582         12         12          1          4   5377.385
  583         17          9          8          2   5385.574
  584          8          3          6          8   5393.685
  585         15          9          6          4   5419.600
  586         19          6         13          0   5420.838
  587         11          9          2          6   5433.981
  588          7          5          2          8   5456.527
  589          6          6          1          8   5457.947
  590         20          5         16          0   5458.248
  591         12          8          5          6   5462.455
  592         10         10          1          6   5465.173
  593          9          1          8          8   5465.967
  594         15          2         13          6   5466.783
  595         18          9         10          0   5468.637
  596         10          1         10          8   5499.584
  597         18          4         15          4   5511.926
  598          8          4          5          8   5513.527
  599         20          4         17          2   5523.018
  600         17          5         12          4   5529.651
  601         14          5         10          6   5531.531
  602         16          2         15          6   5537.706
  603         15         12          3          2   5546.725
  604         13          7          6          6   5554.988
  605         19          7         12          0   5557.680
  606         16          8          9          4   5560.007
  607         17          0         17          6   5561.618
  608         16         12          5          0   5572.088
  609         15         13          2          0   5573.813
  610         14         13          2          2   5574.337
  611         16         11          6          2   5578.807
  612         18          8         11          2   5585.023
  613          9          2          7          8   5593.682
  614         19          5         14          2   5602.347
  615         21          3         18          0   5617.146
  616         19          2         17          4   5625.465
  617          7          6          1          8   5628.187
  618         17         11          6          0   5630.922
  619         21          2         19          2   5633.377
  620         14         14          1          0   5634.349
  621          8          5          4          8   5652.890
  622         17          6         11          4   5661.633
  623         14         11          4          4   5672.693
  624         17         10          7          2   5673.090
  625          9          3          6          8   5678.000
  626         10          2          9          8   5682.091
  627         20          2         19          4   5690.740
  628         13         12          1          4   5692.922
  629         15          3         12          6   5693.189
  630         22          2         21          2   5696.003
  631         14          6          9          6   5708.483
  632         21          0         21          4   5709.697
  633         15         10          5          4   5712.450
  634         23          0         23          2   5712.508
  635         11          0         11          8   5713.578
  636         19          8         11          0   5719.281
  637         22          3         20          0   5725.992
  638         12          9          4          6   5726.868
  639         20          6         15          0   5728.214
  640         11         10          1          6   5732.262
  641         18         10          9          0   5753.325
  642          9          4          5          8   5756.115
  643         18          5         14          4   5771.495
  644         13          8          5          6   5782.376
  645         19          6         13          2   5785.956
  646         23          1         22          0   5787.316
  647         17          7         10          4   5796.070
  648         24          1         24          0   5802.600
  649         16          3         14          6   5813.439
  650         16          9          8          4   5815.158
  651         20          5         16          2   5823.366
  652          8          6          3          8   5823.482
  653          7          7          0          8   5832.508
  654         18          9         10          2   5833.755
  655         10          3          8          8   5839.484
  656          9          5          4          8   5877.524
  657         15          4         11          6   5879.366
  658         17          1         16          6   5882.831
  659         14          7          8          6   5902.364
  660         18          1         18          6   5905.497
  661         11          1         10          8   5915.713
  662         19          7         12          2   5922.798
  663         19          3         16          4   5934.134
  664         16         12          5          2   5937.206
  665         21          4         17          0   5937.715
  666         15         13          2          2   5938.931
  667         12          1         12          8   5946.134
  668         19          9         10          0   5946.917
  669         16         13          4          0   5963.358
  670         20          7         14          0   5970.624
  671         10          4          7          8   5979.361
  672         21          3         18          2   5982.264
  673         17         12          5          0   5987.842
  674         17          8          9          4   5989.767
  675         17         11          6          2   5996.040
  676         15         14          1          0   5998.338
  677         14         14          1          2   5999.467
  678         18          6         13          4   6002.556
  679         15          5         10          6   6010.549
  680         12         10          3          6   6024.239
  681          8          7          2          8   6026.948
  682         14         12          3          4   6033.305
  683         15         11          4          4   6039.050
  684          9          6          3          8   6044.272
  685         13          9          4          6   6045.067
  686         20          3         18          4   6046.125
  687         16          4         13          6   6061.673
  688         11         11          0          6   6062.781
  689         18         11          8          0   6073.894
  690         19          8         11          2   6084.399
  691         13         13          0          4   6086.516
  692         11          2          9          8   6089.079
  693         22          3         20          2   6091.110
  694         20          6         15          2   6093.332
  695         22          4         19          0   6094.915
  696         16         10          7          4   6105.784
  697         21          1         20          4   6110.066
  698         18         10          9          2   6118.443
  699         10          5          6          8   6122.632
  700         15          6          9          6   6124.051
  701         22          1         22          4   6127.796
  702         14          8          7          6   6128.137
  703         23          1         22          2   6152.434
  704         24          1         24          2   6167.718
  705         12          2         11          8   6168.260
  706         17          2         15          6   6178.494
  707         13          0         13          8   6197.239
  708         20          8         13          0   6201.462
  709         23          2         21          0   6202.267
  710         19          4         15          4   6213.124
  711         18          7         12          4   6216.384
  712         11          3          8          8   6220.476
  713         19         10          9          0   6225.382
  714         21          5         16          0   6225.887
  715         17          9          8          4   6237.516
  716          9          7          2          8   6246.394
  717         18          2         17          6   6246.506
  718         24          2         23          0   6262.300
  719          8          8          1          8   6262.831
  720         19          0         19          6   6267.931
  721         25          0         25          0   6276.364
  722         16          5         12          6   6281.546
  723         15          7          8          6   6284.245
  724         10          6          5          8   6290.429
  725         21          4         17          2   6302.833
  726         11          4          7          8   6310.252
  727         19          9         10          2   6312.035
  728         16         13          4          2   6328.476
  729         20          7         14          2   6335.742
  730         13         10          3          6   6341.268
  731         17         12          5          2   6352.960
  732         12         11          2          6   6354.093
  733         15         14          1          2   6363.456
  734         12          3         10          8   6364.244
  735         20          4         17          4   6374.960
  736         17         13          4          0   6377.982
  737         16         14          3          0   6387.147
  738         14          9          6          6   6388.799
  739         15         12          3          4   6398.667
  740         11          5          6          8   6411.138
  741         14         13          2          4   6426.279
  742         18         12          7          0   6429.037
  743         16         11          6          4   6430.749
  744         22          5         18          0   6436.015
  745         18          8         11          4   6436.965
  746         18         11          8          2   6439.012
  747         13          1         12          8   6439.173
  748         20          9         12          0   6446.418
  749         17          3         14          6   6446.556
  750         19          5         14          4   6454.289
  751         15         15          0          0   6455.003
  752         22          4         19          2   6460.033
  753         14          1         14          8   6466.900
  754         21          6         15          0   6469.329
  755         16          6         11          6   6480.016
  756          9          8          1          8   6481.483
  757         21          2         19          4   6485.319
  758         10          7          4          8   6491.087
  759         15          8          7          6   6500.868
  760         17         10          7          4   6525.032
  761         12          4          9          8   6535.077
  762         19         11          8          0   6542.851
  763         22          2         21          4   6547.945
  764         18          3         16          6   6562.108
  765         11          6          5          8   6564.259
  766         23          0         23          4   6564.450
  767         20          8         13          2   6566.580
  768         23          2         21          2   6567.385
  769         19         10          9          2   6590.500
  770         21          5         16          2   6591.005
  771         23          3         20          0   6591.183
  772         24          2         23          2   6627.418
  773         19          1         18          6   6628.731
  774         19          6         13          4   6637.898
  775         25          0         25          2   6641.482
  776         21          7         14          0   6648.313
  777         20          1         20          6   6648.919
  778         13          2         11          8   6654.395
  779         13         11          2          6   6670.271
  780         20          5         16          4   6675.308
  781         16          7         10          6   6677.901
  782         17          4         13          6   6681.814
  783         14         10          5          6   6683.527
  784         18          9         10          4   6685.697
  785         12          5          8          8   6692.780
  786         24          3         22          0   6697.086
  787         12         12          1          6   6716.151
  788          1          0          1         10   6717.629
  789         20         10         11          0   6723.670
  790         10          8          3          8   6725.088
  791         14          2         13          8   6728.685
  792          1          1          0         10   6736.232
  793         17         13          4          2   6743.100
  794         22          6         17          0   6747.072
  795          9          9          0          8   6748.916
  796         16         14          3          2   6752.265
  797         15          0         15          8   6755.115
  798         25          1         24          0   6755.838
  799         15          9          6          6   6758.366
  800         11          7          4          8   6761.409
  801         26          1         26          0   6768.684
  802          2          1          2         10   6773.343
  803         19          7         12          4   6774.740
  804         16         12          5          4   6789.148
  805         15         13          2          4   6790.873
  806         18         12          7          2   6794.155
  807         21          8         13          0   6796.094
  808         17         14          3          0   6800.883
  809         22          5         18          2   6801.133
  810         20          9         12          2   6811.536
  811         18         13          6          0   6817.823
  812         15         15          0          2   6820.121
  813          2          2          1         10   6829.152
  814          3          0          3         10   6830.720
  815         21          3         18          4   6834.206
  816         21          6         15          2   6834.447
  817         13          3         10          8   6836.078
  818         16         15          2          0   6843.220
  819         17         11          6          4   6847.982
  820         18          4         15          6   6850.692
  821         14         14          1          4   6851.409
  822         12          6          7          8   6860.743
  823          3          1          2         10   6867.428
  824         17          5         12          6   6868.417
  825         19         12          7          0   6895.855
  826         16          8          9          6   6898.773
  827          3          2          1         10   6906.458
  828         19         11          8          2   6907.969
  829          4          1          4         10   6918.824
  830         19          8         11          4   6936.341
  831         22          3         20          4   6943.052
  832         20          6         15          4   6945.274
  833         23          4         19          0   6952.535
  834         23          3         20          2   6956.301
  835         19          2         17          6   6964.231
  836         14          3         12          8   6964.472
  837         13          4          9          8   6967.945
  838         18         10          9          4   6970.385
  839          3          3          0         10   6981.367
  840         21          9         12          0   6989.846
  841         10          9          2          8   6991.785
  842         11          8          3          8   6993.865
  843          4          2          3         10   6994.750
  844         17          6         11          6   7000.399
  845         23          1         22          4   7004.376
  846         14         11          4          6   7011.459
  847         21          7         14          2   7013.431
  848          5          0          5         10   7019.619
  849         24          1         24          4   7019.660
  850         22          7         16          0   7026.765
  851         20          2         19          6   7029.506
  852         13         12          1          6   7031.688
  853         15          1         14          8   7036.714
  854         20         11         10          0   7038.000
  855         21          0         21          6   7048.463
  856         15         10          5          6   7051.216
  857         12          7          6          8   7057.370
  858         16          1         16          8   7061.884
  859         24          3         22          2   7062.204
  860         13          5          8          8   7066.871
  861          4          3          2         10   7078.415
  862         20         10         11          2   7088.788
  863          5          1          4         10   7094.500
  864         24          4         21          0   7105.970
  865         18          5         14          6   7110.261
  866         22          6         17          2   7112.190
  867         25          1         24          2   7120.956
  868         26          1         26          2   7133.802
  869         17          7         10          6   7134.836
  870          6          1          6         10   7141.727
  871          5          2          3         10   7141.928
  872         16          9          8          6   7153.924
  873         21          4         17          4   7154.775
  874         21          8         13          2   7161.212
